PSAP ID,PSAP Name,County,City,State,Zip,Text to TTY,Web Browser,DirectIP,RTT,Other
8025,Ingham County 911 Central Dispatch Center,Ingham,Lansing,MI,48910,,1,,,
7927,Ocean Reef Public Safety,Monroe,Marathon,FL,33050,,,1,,
4622,Lincoln - Lancaster 911,Lancaster,Lincoln ,NE ,68508,,,1,,
2470,Wheeling Police Department,Cook & Lake,Wheeling,IL,60090,,1,,,
2076,Lewiston Police Department,Nez Perce,Lewiston ,ID,83501,,,1,,
2075,Lewis County Sheriff's Office,Lewis ,Nezperce,ID,83543,,,1,,
2083,Nez Perce County Sheriff's Office,Nez Perce,Lewiston ,ID,83501,,,1,,
1600,Ocala Police Department,Marion,Ocala,FL,34470,,,1,,
1579,Marion County Sheriffs Department,Marion,Ocala,FL,34470,,,1,,
1549,Key West Police Department,Monroe,Marathon ,FL,33050,,,1,,
989,Stockton Police Department,San Joaquin,Stockton,CA,95202,,1,,,
865,Palo Alto Police & Fire  Department,Santa Clara,Palo Alto,CA,94301,,,1,,
7316,Multi Agency Communications Center,Grant,Moses Lake,WA,98837,,,,,1
8082,Falls City Police Department/Richardson,Richardson,Falls City,NE,68355,,,1,,
7049,Richfield Consolidated Dispatch Center,Sevier,Richfield,UT,84701,,,1,,
4658,Thayer County,Thayer,Hebron,NE ,68370,,,1,,
4647,Saline County Sheriff,Saline,Wilber,NE ,68465,,1,,,
4635,Nuckolls County,Nuckolls,Nelson ,NE ,68961,,,1,,
4631,Nemaha County,Nemaha,Auburn,NE ,68305,,,1,,
4590,Fillmore County,Fillmore,Geneva,NE ,68361,,,1,,
4574,Clay County 911,Clay,Clay Center,NE ,69933,,,1,,
4558,Southeast NE 911,Gage,Beatrice ,NE ,68310,,,1,,
2792,Neosho County Communications,Neosho,Erie,KS,66733,,,1,,
1129,Durango-La Plata Central Communications,La Plata,Durango,CO,81301,,,1,,
1031,Vandenberg Emergency Communications Center,Santa Barbara,Vandenberg AFB,CA,93437,,1,,,
1019,UC Santa Barbara Police Department,Santa Barbara,Goleta,CA,93106,,1,,,
990,Suisun City Police Department,Solano,Suisun City,CA,94505,,,1,,
958,City of Santa Maria Communications Center,Santa Barbara,Santa Maria,CA,93455,,1,,,
951,Santa Barbara Police Combined Communications,Santa Barbara,Santa Barbara,CA,93101,,1,,,
950,Santa Barbara CountyPublic Safety Dispatch Center,Santa Barbara,Santa Barbara,CA,93110,,1,,,
831,South Coast Dispatch,Santa Barbara,Santa Barbara,CA,93108,,1,,,
791,Lompoc Police Department Dispatch Center,Santa Barbara,Lompoc,CA,93436,,1,,,
730,Fremont Police Department,Alameda,Fremont,CA,94538,,,1,,
1576,Marathon Sheriffs Department,Monroe,Marathon,FL,33050,,,1,,
6603,Garland Police Department,Dallas,Garland,TX,75040,,1,,,
796,Los Altos Police Department,Santa Clara,Los Altos,CA,94022,,,1,,
5684,Muskogee County 911,Muskogee,Muskogee,OK,74402,,,1,,
816,Mendocino County Sheriff,Mendocino,Ukiah,CA,95482,,,1,,
1021,Ukiah Police Department,Mendocino,Ukiah,CA,95482,,,1,,
1048,Willits Police Department,Mendocino,Ukiah,CA,95482,,,1,,
779,Lake County Sheriff,Lake,Hacienda Heights,CA,91745,,,1,,
8591,Clearlake Police Department,Lake,Hacienda Heights,CA,91745,,,1,,
8421,Sumter County Fire  EMS,Sumter,Wildwood ,FL,34785,,,1,,
8257,Orange County Sheriff - Harbor,Orange,Silverado ,CA,92676,,1,,,
7375,Washington State Patrol,King,Kent,WA,98032,,,1,,
7370,Valley Communications Center,King,Kent,WA,98032,,,1,,
7367,University of Washington Police,King,Kent,WA,98032,,,1,,
7346,Seattle Police Department,King,Kent,WA,98032,,,1,,
7345,Seattle Fire Department,King,Kent,WA,98032,,,1,,
7341,Redmond Police Department,King,Kent,WA,98032,,,1,,
7332,Port of Seattle Department,King,Kent,WA,98032,,,1,,
7289,King County Sheriff's Office ,King,Kent,WA,98032,,,1,,
7284,Issaquah Police Department,King,Kent,WA,98032,,,1,,
7265,Enumclaw Police Department,King,Kent,WA,98032,,,1,,
7249,Bothell Police Department,King,Kent,WA,98032,,,1,,
7245,NORCOM,Kent,Kent,WA,98032,,,1,,
6422,Bandera County Sheriffs Office,Bandera,San Antonio,TX,78217,,,1,,
